date,net_impact,weighted_horizon,news_count,divergence
2022-08-25,1.1330880012512206,0.5894736842105264,19.0,0.7802009038013208
2022-08-26,-0.11110473632812498,0.4805970149253732,17.0,0.8025235932027537
2022-08-27,0.46925000000000006,0.5076923076923077,3.0,0.9539392014169458
2022-08-28,0.8300000000000001,0.690909090909091,3.0,0.15275252316519464
2022-08-29,-1.757728515625,0.5230769230769231,14.0,0.9322075890116907
2022-08-30,1.3148443383094854,0.45735294117647063,36.0,0.7338688520870007
2022-08-31,-1.1686274108886718,0.515492957746479,19.0,0.7687614402705065
2022-09-01,-0.6390126342773439,0.5553956834532374,17.0,0.585737343264127
2022-09-02,-0.7688906249999999,0.5978494623655917,12.0,0.8140340995016825
2022-09-03,-0.19712500000000008,0.6,6.0,0.9042492281814051
2022-09-04,0.825,0.39999999999999997,5.0,0.5770615218501404
2022-09-05,1.3383603687286376,0.4836158192090396,24.0,0.6177184528217704
2022-09-06,0.6089143295288088,0.5218543046357618,19.0,0.7678099789288297
2022-09-07,-1.3368684539794922,0.5663716814159293,27.0,0.7697818538807618
2022-09-08,1.7131517909122633,0.5318840579710146,33.0,0.7290253975706404
2022-09-09,0.48,0.4000000000000001,1.0,0.0
2022-09-11,1.546,0.5600000000000003,6.0,0.21602468994692867
2022-09-12,1.7986749769449235,0.5446009389671361,26.0,0.6936747187152026
2022-09-13,1.0425736694335936,0.5587786259541985,17.0,0.7856245174082471
2022-09-14,-0.9948847965416501,0.43206106870229016,34.0,0.7634708249401279
2022-09-15,0.6523382606506348,0.4485549132947978,22.0,0.7354505053961455
2022-09-16,-0.9051803466796876,0.5129629629629631,17.0,0.7075683296872964
2022-09-17,-0.5599999999999999,0.39999999999999997,2.0,0.21213203435596428
2022-09-18,0.7725,0.46315789473684227,7.0,0.7312741652498772
2022-09-19,1.4119468040466308,0.4920187793427231,26.0,0.7089320245161841
2022-09-20,0.24754211425781247,0.6184615384615384,17.0,0.7574628703771559
2022-09-21,-1.445658447265625,0.5733333333333334,16.0,0.7288975693927554
2022-09-22,-1.3549755859375001,0.4869565217391305,15.0,0.6909620622209092
2022-09-23,-1.1862872343063355,0.5522727272727274,21.0,0.7075107268242854
2022-09-24,-1.0570000000000002,0.6181818181818183,4.0,1.1
2022-09-25,0.05171874999999998,0.5704918032786885,7.0,0.6335839103296196
2022-09-26,-1.1829383544921876,0.582089552238806,16.0,0.681878532682569
2022-09-27,-0.3918749999999999,0.4380952380952382,10.0,0.7187179944564874
2022-09-28,-1.0619009857177732,0.5462857142857143,21.0,0.7724111907650274
2022-09-29,0.6640384521484376,0.52,18.0,0.8490863986770136
2022-09-30,-1.0700687875747679,0.5170212765957449,22.0,0.8104832613219825
2022-10-01,0.8380000000000001,0.4,3.0,0.6429100507328638
2022-10-02,-0.5010000000000001,0.4,3.0,0.8888194417315589
2022-10-03,0.6233390967398883,0.5203389830508474,29.0,0.7514681852863346
2022-10-04,0.7146742248535156,0.5000000000000001,20.0,0.6840283158189472
2022-10-05,0.8740258789062502,0.5035398230088497,14.0,0.7185531861446871
2022-10-06,0.024474487304687494,0.6035502958579883,20.0,0.6734827001255645
2022-10-07,1.4836236629486086,0.5794594594594595,22.0,0.8398618727909759
2022-10-08,0.37,0.5391304347826088,3.0,1.0408329997330665
2022-10-09,-0.6799999999999999,0.4000000000000001,2.0,0.21213203435596428
2022-10-10,-1.260252197265625,0.5322834645669291,16.0,0.8607893664151139
2022-10-11,-1.5916504643876104,0.49250814332247556,36.0,0.7871364114044846
2022-10-12,-1.599406947906129,0.5320388349514563,37.0,0.7509853387243848
2022-10-13,0.49549834136787274,0.5136929460580915,61.0,0.7553416337039535
2022-10-14,1.5120989608764652,0.5049180327868853,23.0,0.6501140064203152
2022-10-15,-0.9475,0.4,3.0,0.7637626158259733
2022-10-16,-1.0343437500000001,0.528,10.0,0.6186005711819758
2022-10-17,0.47197509765625006,0.47552447552447563,17.0,0.7263931847309207
2022-10-18,1.50170374917984,0.5015228426395939,24.0,0.6820551849830913
2022-10-19,-1.413338309304556,0.5389067524115756,38.0,0.7910202371919609
2022-10-20,-0.8362891166107732,0.5242320819112629,37.0,0.6957075599768979
2022-10-21,-1.4618748502731327,0.5544973544973546,24.0,0.4530092618306472
2022-10-22,-1.2637500000000002,0.5212121212121213,4.0,0.8020806277010643
2022-10-23,-1.4179375,0.5163636363636364,7.0,0.6343350474165467
2022-10-24,0.5775322265625,0.6156521739130436,14.0,0.6868065933749448
2022-10-25,-1.5725948138893582,0.5078498293515359,36.0,0.5022094042471583
2022-10-26,-0.6221833853721619,0.5673076923076924,26.0,0.8154658885475317
2022-10-27,,0.47321428571428564,29.0,0.7646626672651116
2022-10-28,-0.29714062499999994,0.5054945054945056,11.0,0.7628892449104262
2022-10-29,-0.9720000000000001,0.4,2.0,0.07071067811865474
2022-10-30,0.7000000000000001,0.4,3.0,1.011599393699568
2022-10-31,-0.5280981546152035,0.457328990228013,39.0,0.7108756076520392
2022-11-01,1.4060515854768456,0.49959839357429725,31.0,0.7416959641428598
2022-11-02,-0.3387607421875,0.5923076923076922,13.0,0.7985563898011885
2022-11-03,,0.5372781065088759,22.0,0.7612333351057284
2022-11-04,-1.3786787109375,0.588235294117647,17.0,0.7158396961528715
2022-11-05,0.55,0.4000000000000001,4.0,0.6751543033509698
2022-11-06,-0.631125,0.45245901639344277,8.0,0.7592289321598403
2022-11-07,1.4906551208496097,0.42580645161290326,18.0,0.773076360279843
2022-11-08,1.8920624001435935,0.5867132867132868,30.0,0.43503534008909756
2022-11-09,0.9626822630722761,0.45602240896358553,44.0,0.7139934368794834
2022-11-10,-0.30965926992893233,0.5511111111111112,28.0,0.7990073206252234
2022-11-11,1.5683371963500976,0.5395348837209302,19.0,0.6898597196159071
2022-11-12,-0.8,0.8000000000000002,1.0,0.0
2022-11-13,0.0,0.8,1.0,0.0
2022-11-14,1.4648437500000002,0.5258426966292137,12.0,0.5744562646538028
2022-11-15,1.5192662029007897,0.4703812316715542,41.0,0.5313925561959707
2022-11-16,1.262260710665723,0.5096296296296298,36.0,0.6794956112546171
2022-11-17,-1.3982436561584475,0.560493827160494,20.0,0.8058993015324722
2022-11-18,-0.879326171875,0.4927536231884058,17.0,0.8031646963181118
2022-11-19,1.115,0.48780487804878053,5.0,0.6708203932499369
2022-11-20,-0.13436718749999987,0.43000000000000005,10.0,0.5981452814975454
2022-11-21,0.9066769709622021,0.5101045296167248,36.0,0.7973119522535388
2022-11-22,0.5037497271895409,0.5254545454545455,27.0,0.7142226264365755
2022-11-23,0.5702382812500002,0.5080000000000002,13.0,0.737316687343978
2022-11-24,1.3272460937500001,0.5463414634146341,11.0,0.8262731223556002
2022-11-25,-0.9067038574218751,0.5946902654867259,14.0,0.7552017414768522
2022-11-26,0.7500000000000001,0.4000000000000001,4.0,0.6658328118479393
2022-11-27,-0.8293750000000001,0.6344827586206896,7.0,0.8454359258760564
2022-11-28,-0.7173246335983278,0.513978494623656,24.0,0.7621361094157411
2022-11-29,-0.07087567138671869,0.5573333333333333,18.0,0.7261006970263988
2022-11-30,-0.18525283176673107,0.4830985915492958,35.0,0.7172543353041548
2022-12-01,1.6710866804122928,0.5129411764705882,22.0,0.7706886783656803
2022-12-02,-1.7000041503906251,0.5045751633986929,18.0,0.708768609051269
2022-12-03,0.19599999999999998,0.39999999999999997,3.0,0.9291573243177569
2022-12-04,-0.5595,0.4600000000000001,5.0,0.7328028384224504
2022-12-05,0.06576455435901885,0.559016393442623,31.0,0.7226891239616611
2022-12-06,-0.5648156622871757,0.4885375494071146,33.0,0.7481922658425886
2022-12-07,0.7423406943663705,0.45260273972602727,46.0,0.7519925223186653
2022-12-08,-0.7448213103003798,0.49872340425531925,30.0,0.745600120862306
2022-12-09,0.29134192124009145,0.6025974025974026,28.0,0.6822460377932993
2022-12-10,0.504,0.39999999999999997,1.0,0.0
2022-12-11,0.37975,0.5212121212121212,8.0,0.7887603293414656
2022-12-12,0.20064599609374995,0.5196581196581197,16.0,0.7044797134528905
2022-12-13,-0.7215703125,0.5808219178082193,10.0,0.7922541679705237
2022-12-14,1.288567675754428,0.5307692307692308,28.0,0.7690697328384819
2022-12-15,-1.135559392775031,0.5255972696245735,37.0,0.7365747364268899
2022-12-16,-1.1091963958740234,0.4552631578947369,20.0,0.7570545415935158
2022-12-17,0.18050000000000002,0.4000000000000001,5.0,0.9099450532861861
2022-12-18,,0.0,1.0,0.0
2022-12-19,-0.7089570312500001,0.5204819277108435,10.0,0.6019413038937711
2022-12-20,-1.7531743774414061,0.5342281879194631,19.0,0.5870931464197988
2022-12-21,0.7696447753906251,0.5519379844961242,16.0,0.8468569340016451
2022-12-22,1.3663910369873047,0.45935483870967747,19.0,0.6414530289148953
2022-12-23,-1.3129826068456054,0.4663015699160277,35.0,0.6964577843474443
2022-12-24,0.883125,0.5599999999999999,5.0,0.9528903399657277
2022-12-25,-0.2139999999999999,0.5866666666666667,4.0,0.9255628917943215
2022-12-26,1.2046933593750002,0.5048387096774193,16.0,0.7955867855446905
2022-12-27,1.2596029698848723,0.5309734513274337,30.0,0.7709972643331462
2022-12-28,-1.6694791755676273,0.5608938547486032,23.0,0.7357607447518429
2022-12-29,1.5285765562166707,0.4656716417910447,42.0,0.7244686466485429
2022-12-30,1.110502738982439,0.45258964143426306,31.0,0.7108075068736662
2022-12-31,-0.9540000000000001,0.5333333333333334,3.0,0.9865765724632495
2023-01-01,0.5040000000000001,0.4000000000000001,2.0,1.1313708498984762
2023-01-02,-0.14250000000000002,0.46249999999999997,8.0,0.818971480403491
2023-01-03,0.6074745597839356,0.5628742514970061,21.0,0.7103319143692113
2023-01-04,,0.5226277372262774,19.0,0.7888934916555406
2023-01-05,1.6558359375000002,0.5861386138613862,14.0,0.8124461097935551
2023-01-06,-1.0580161132812502,0.6043478260869568,12.0,0.8045603919174895
2023-01-07,-1.0931875,0.5500000000000002,6.0,0.5076087732365022
2023-01-08,-0.29000000000000004,0.4787878787878788,5.0,0.68044103344816
2023-01-09,1.6438457648754121,0.5683168316831684,27.0,0.7436531066431061
2023-01-10,,0.4736196319018406,23.0,0.7529971858544771
2023-01-11,,0.49245283018867925,28.0,0.7350407473636412
2023-01-12,0.8075193454870555,0.47218683651804666,59.0,0.7323732269422392
2023-01-13,0.9933049269461772,0.5696202531645569,39.0,0.5843551874974635
2023-01-14,0.6204062499999999,0.4645161290322582,8.0,0.9635314510397972
2023-01-15,1.322470703125,0.5276595744680851,12.0,0.6082139774982506
2023-01-16,1.7159183957576751,0.5515789473684211,25.0,0.7678541528180987
2023-01-17,-0.7010340423583986,0.45575757575757586,21.0,0.8053688891551795
