date,net_impact,weighted_horizon,news_count,divergence
2024-01-01,0.950875,0.4000000000000001,8.0,0.6081294505049304
2024-01-02,-1.1490843505859376,0.4313432835820896,19.0,0.6325017624735633
2024-01-03,-1.4447661322355272,0.5485714285714285,25.0,0.5438136935875497
2024-01-04,0.6439296875,0.5032258064516129,9.0,0.5775907817054485
2024-01-05,0.3631640625,0.3344827586206897,11.0,0.45266885347800423
2024-01-07,0.5465000000000001,0.40000000000000013,3.0,0.3214550253664319
2024-01-08,0.9990625000000001,0.46071428571428585,15.0,0.193464651625488
2024-01-09,1.161,0.4393939393939394,4.0,0.050000000000000044
2024-01-10,1.4332115478515626,0.4238805970149254,16.0,0.5446711546122731
2024-01-11,0.49750000000000005,0.5250000000000001,7.0,0.7702813338860895
2024-01-12,0.35700000000000004,0.24999999999999997,4.0,0.7187952884282609
2024-01-14,0.498,0.4,2.0,0.0
2024-01-15,1.1244375000000002,0.6181818181818182,6.0,0.2136976056643281
2024-01-16,0.3775625,0.5217391304347826,6.0,0.7014271166700072
2024-01-17,1.0190468750000001,0.4680412371134022,14.0,0.5930457796016229
2024-01-18,1.0755260506760258,0.47838125665601705,60.0,0.3670186420548951
2024-01-19,1.5349933514851462,0.5198058252427185,65.0,0.28205547053999586
2024-01-20,0.9084375,0.45714285714285713,6.0,0.7042726744663604
2024-01-21,1.2254307861328124,0.46260869565217394,15.0,0.1264911064067352
2024-01-22,1.4718936583176259,0.4630081300813009,31.0,0.6303992590465598
2024-01-23,1.423138427734375,0.45140186915887853,15.0,0.5906412979610746
2024-01-24,1.4445,0.4930232558139535,5.0,0.09746794344808965
2024-01-25,1.4276390380859376,0.5440000000000002,18.0,0.18230549667425575
2024-01-26,0.42125,0.46486486486486484,6.0,0.5980523945831725
2024-01-27,0.504,0.4,1.0,0.0
2024-01-28,0.31671875,0.4,7.0,0.531843156256751
2024-01-29,1.3076171875,0.5700000000000001,10.0,0.2270584848790187
2024-01-30,0.47587500000000005,0.7282051282051281,5.0,0.7120393247567159
2024-01-31,-1.14519921875,0.5295774647887324,10.0,0.7309810759064378
2024-02-01,1.0740917968750001,0.4755813953488373,12.0,0.49604496374885826
2024-02-02,0.95003125,0.3571428571428572,7.0,0.1397276262011544
2024-02-03,-0.16799999999999998,0.8,1.0,0.0
2024-02-04,1.0260000000000002,0.4,3.0,0.2081665999466133
2024-02-05,1.4008813934326176,0.5128205128205129,19.0,0.4426792431102929
2024-02-06,1.3026716308593749,0.4576576576576577,14.0,0.1786703022974913
2024-02-07,1.2927656250000001,0.49156626506024115,10.0,0.09486832980505139
2024-02-08,0.591,0.5529411764705884,3.0,0.29297326385411576
2024-02-09,1.4332500000000001,0.7151515151515152,4.0,0.1258305739211792
2024-02-10,0.756,0.4,2.0,0.07071067811865482
2024-02-11,0.9937500000000001,0.4,5.0,0.3898717737923586
2024-02-12,0.97625,0.35,5.0,0.6340346993658943
2024-02-13,0.5499999999999999,0.29411764705882354,3.0,0.32145502536643183
2024-02-14,1.2610000000000001,0.5107692307692309,8.0,0.13093073414159542
2024-02-15,1.472083330962561,0.5647058823529412,50.0,0.5005005249849435
2024-02-16,0.11632466125488274,0.43798449612403106,18.0,0.6555195514650507
2024-02-17,0.9013125000000001,0.42978723404255326,8.0,0.45898762821795414
2024-02-18,0.712,0.49999999999999994,4.0,0.722841614740048
2024-02-19,-0.424125,0.5157894736842106,8.0,0.570087712549569
2024-02-20,1.4423276367187503,0.5361904761904762,13.0,0.45573271518765
2024-02-21,0.4105510559082031,0.43049645390070934,19.0,0.6526598748817808
2024-02-22,0.7593984375000002,0.5156626506024098,11.0,0.4686537780028703
2024-02-23,1.3798911514282224,0.44358974358974373,20.0,0.17851728502481656
2024-02-24,1.1824075927734377,0.3895652173913045,15.0,0.394365071379058
2024-02-25,1.0312500000000002,0.35945945945945945,5.0,0.4147288270665544
2024-02-26,1.26075,0.45970149253731335,9.0,0.6363961030678927
2024-02-27,1.1959453125,0.4571428571428572,9.0,0.42064764880413213
2024-02-28,1.111,0.39999999999999997,5.0,0.31304951684997057
2024-02-29,1.139854253768921,0.48777777777777787,25.0,0.529937103186155
2024-03-01,0.9606250000000001,0.4318181818181818,7.0,0.5887840577551898
2024-03-02,1.1764765625,0.3491525423728814,9.0,0.3872983346207417
2024-03-03,1.08,0.6000000000000001,2.0,0.0
2024-03-04,1.449666352185258,0.5881235154394301,50.0,0.16296049352214048
2024-03-05,1.4447224692280876,0.5500000000000002,37.0,0.47978661423094665
